site,site_idx,treat,y
Mexico,0,0,0.0
Mexico,0,1,513.2464916163547
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,-174.50380714956057
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,205.29859664654185
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,153.97394748490638
Mexico,0,1,0.0
Mexico,0,0,-61.589578993962554
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,18.476873698188765
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,-51.32464916163546
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,410.5971932930837
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,133.4440878202522
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,1129.1422815559802
Mexico,0,0,0.0
Mexico,0,1,307.94789496981275
Mexico,0,1,0.0
Mexico,0,0,-14.37090176525793
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,102.64929832327093
Mexico,0,0,0.0
Mexico,0,1,82.11943865861674
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,30.794789496981277
Mexico,0,0,0.0
Mexico,0,1,153.97394748490638
Mexico,0,0,30.794789496981277
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,-1437.090176525793
Mexico,0,1,0.0
Mexico,0,0,-51.32464916163546
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,0,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,0,2720.2064055666797
Mexico,0,1,0.0
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,82.11943865861674
Mexico,0,1,0.0
Mexico,0,0,0.0
Mexico,0,1,35.92725441314482
